台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率
"
478
",7700,29,31,0,2033,1/265.5,1/248.4,0.0,128.3
"
479
",622,1,1,0,244,1/622.0,1/622.0,0.0,311.0
"
480
",6747,25,28,0,2890,1/269.9,1/241.0,0.0,127.3
"
481
",2796,8,12,0,913,1/349.5,1/233.0,0.0,139.8
"
482
",3984,11,9,0,506,1/362.2,1/442.7,0.0,199.2
"
483
",1901,11,2,0,1209,1/172.8,1/950.5,0.0,146.2
"
484
",4919,21,13,0,1307,1/234.2,1/378.4,0.0,144.7
"
485
",714,1,1,0,242,1/714.0,1/714.0,0.0,357.0
"
486
",5154,14,17,0,848,1/368.1,1/303.2,0.0,166.3
"
487
",7118,22,10,0,801,1/323.5,1/711.8,0.0,222.4
"
488
",3909,16,12,0,1491,1/244.3,1/325.8,0.0,139.6
"
489
",4312,16,17,0,1340,1/269.5,1/253.6,0.0,130.7
"
490
",7327,23,21,0,1487,1/318.6,1/348.9,0.0,166.5
"
491
",691,1,0,0,242,1/691.0,1/0.0,0.0,691.0
"
492
",3314,10,9,0,625,1/331.4,1/368.2,0.0,174.4
"
493
",7783,35,20,0,2137,1/222.4,1/389.2,0.0,141.5
"
494
",1163,0,3,0,111,1/0.0,1/387.7,0.0,387.7
"
495
",6928,27,26,0,1695,1/256.6,1/266.5,0.0,130.7
"
496
",6751,25,23,0,1747,1/270.0,1/293.5,0.0,140.6
"
497
",3695,8,9,0,661,1/461.9,1/410.6,0.0,217.4
"
498
",8373,36,26,0,2705,1/232.6,1/322.0,0.0,135.0
"
499
",3573,12,11,0,954,1/297.8,1/324.8,0.0,155.3
"
500
",4251,18,10,0,1425,1/236.2,1/425.1,0.0,151.8
"
501
",1024,3,1,0,421,1/341.3,1/1024.0,0.0,256.0
"
502
",3986,10,17,0,651,1/398.6,1/234.5,0.0,147.6
"
503
",7065,25,27,0,1370,1/282.6,1/261.7,0.0,135.9
"
504
",2974,14,8,0,1339,1/212.4,1/371.8,0.0,135.2
"
505
",3158,17,4,0,1605,1/185.8,1/789.5,0.0,150.4
"
506
",1621,4,3,0,384,1/405.3,1/540.3,0.0,231.6
"
507
",7273,27,22,0,1145,1/269.4,1/330.6,0.0,148.4
"
508
",6086,24,18,0,1340,1/253.6,1/338.1,0.0,144.9
"
509
",2249,8,6,0,838,1/281.1,1/374.8,0.0,160.6
"
510
",812,3,0,0,369,1/270.7,1/0.0,0.0,270.7
"
511
",7052,29,20,0,1900,1/243.2,1/352.6,0.0,143.9
"
512
",7834,40,22,0,3248,1/195.9,1/356.1,0.0,126.4
"
513
",3132,11,6,0,925,1/284.7,1/522.0,0.0,184.2
"
514
",1374,2,3,0,332,1/687.0,1/458.0,0.0,274.8
"
515
",6495,18,20,0,1155,1/360.8,1/324.8,0.0,170.9
"
516
",1871,6,5,0,753,1/311.8,1/374.2,0.0,170.1
"
517
",5183,20,19,0,1635,1/259.2,1/272.8,0.0,132.9
"
526
",8515,46,31,0,4298,1/185.1,1/274.7,0.0,110.6
"
527
",1623,6,2,0,642,1/270.5,1/811.5,0.0,202.9
"
528
",3428,10,10,0,927,1/342.8,1/342.8,0.0,171.4
"
529
",2204,8,3,0,763,1/275.5,1/734.7,0.0,200.4
"
530
",1335,3,3,0,458,1/445.0,1/445.0,0.0,222.5
"
531
",5076,22,17,0,1420,1/230.7,1/298.6,0.0,130.2
"
532
",2460,5,8,0,324,1/492.0,1/307.5,0.0,189.2
"
533
",3768,8,8,0,404,1/471.0,1/471.0,0.0,235.5
"
534
",2202,6,7,0,585,1/367.0,1/314.6,0.0,169.4
"
535
",4448,14,12,0,488,1/317.7,1/370.7,0.0,171.1
