台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率
"
478
",7663,19,18,0,576,1/403.3,1/425.7,0.0,207.1
"
479
",7014,33,25,0,2572,1/212.5,1/280.6,0.0,120.9
"
480
",6286,23,15,0,1833,1/273.3,1/419.1,0.0,165.4
"
481
",3279,10,5,0,806,1/327.9,1/655.8,0.0,218.6
"
482
",4861,12,15,0,641,1/405.1,1/324.1,0.0,180.0
"
483
",6833,25,23,0,923,1/273.3,1/297.1,0.0,142.4
"
484
",8511,24,35,0,1512,1/354.6,1/243.2,0.0,144.3
"
485
",8376,39,25,0,2516,1/214.8,1/335.0,0.0,130.9
"
486
",7230,21,28,0,1103,1/344.3,1/258.2,0.0,147.6
"
487
",5837,18,11,0,696,1/324.3,1/530.6,0.0,201.3
"
488
",7534,26,20,0,1202,1/289.8,1/376.7,0.0,163.8
"
489
",5080,19,10,0,789,1/267.4,1/508.0,0.0,175.2
"
490
",6068,24,19,0,1105,1/252.8,1/319.4,0.0,141.1
"
491
",2354,6,6,0,409,1/392.3,1/392.3,0.0,196.2
"
492
",9075,44,29,0,3376,1/206.3,1/312.9,0.0,124.3
"
493
",3107,11,4,0,901,1/282.5,1/776.8,0.0,207.1
"
494
",6667,24,15,0,1210,1/277.8,1/444.5,0.0,170.9
"
495
",6910,32,24,0,2729,1/215.9,1/287.9,0.0,123.4
"
496
",7943,29,24,0,1857,1/273.9,1/331.0,0.0,149.9
"
497
",5168,14,10,0,557,1/369.1,1/516.8,0.0,215.3
"
498
",8049,46,18,0,3626,1/175.0,1/447.2,0.0,125.8
"
499
",6255,22,25,0,1716,1/284.3,1/250.2,0.0,133.1
"
500
",8509,38,28,0,3226,1/223.9,1/303.9,0.0,128.9
"
501
",8370,41,26,0,2863,1/204.1,1/321.9,0.0,124.9
"
502
",7716,21,26,0,1587,1/367.4,1/296.8,0.0,164.2
"
503
",4838,11,15,0,1198,1/439.8,1/322.5,0.0,186.1
"
504
",5054,18,13,0,1459,1/280.8,1/388.8,0.0,163.0
"
505
",4751,14,6,0,793,1/339.4,1/791.8,0.0,237.6
"
506
",5087,19,10,0,630,1/267.7,1/508.7,0.0,175.4
"
507
",3854,12,10,0,649,1/321.2,1/385.4,0.0,175.2
"
508
",7859,31,28,0,1397,1/253.5,1/280.7,0.0,133.2
"
509
",6355,27,17,0,2208,1/235.4,1/373.8,0.0,144.4
"
510
",8124,28,24,0,1304,1/290.1,1/338.5,0.0,156.2
"
511
",8139,35,37,0,3450,1/232.5,1/220.0,0.0,113.0
"
512
",3621,14,6,0,866,1/258.6,1/603.5,0.0,181.1
"
513
",5573,19,14,0,1265,1/293.3,1/398.1,0.0,168.9
"
514
",6565,27,16,0,1528,1/243.1,1/410.3,0.0,152.7
"
515
",5369,17,12,0,1341,1/315.8,1/447.4,0.0,185.1
"
516
",6053,19,7,0,863,1/318.6,1/864.7,0.0,232.8
"
517
",5737,23,19,0,1739,1/249.4,1/301.9,0.0,136.6
"
524
",6669,22,22,0,1794,1/303.1,1/303.1,0.0,151.6
"
525
",7983,36,21,0,2031,1/221.8,1/380.1,0.0,140.1
"
526
",6700,29,19,0,2532,1/231.0,1/352.6,0.0,139.6
"
527
",4326,13,11,0,811,1/332.8,1/393.3,0.0,180.3
"
528
",5067,17,17,0,887,1/298.1,1/298.1,0.0,149.0
"
529
",6732,21,20,0,898,1/320.6,1/336.6,0.0,164.2
"
530
",5269,15,14,0,642,1/351.3,1/376.4,0.0,181.7
"
531
",6685,27,14,0,1591,1/247.6,1/477.5,0.0,163.0
"
532
",8610,42,35,0,4615,1/205.0,1/246.0,0.0,111.8
"
533
",7375,24,29,0,1618,1/307.3,1/254.3,0.0,139.2
"
534
",8971,38,35,0,2747,1/236.1,1/256.3,0.0,122.9
"
535
",7356,30,16,0,1271,1/245.2,1/459.8,0.0,159.9
