台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率
"
478
",7190,29,19,0,1026,1/247.9,1/378.4,0.0,149.8
"
479
",4531,19,10,0,914,1/238.5,1/453.1,0.0,156.2
"
480
",7287,31,22,0,1501,1/235.1,1/331.2,0.0,137.5
"
481
",4202,19,15,0,2250,1/221.2,1/280.1,0.0,123.6
"
482
",6546,25,14,0,1598,1/261.8,1/467.6,0.0,167.8
"
483
",2360,11,3,0,1007,1/214.5,1/786.7,0.0,168.6
"
484
",7365,29,23,0,1242,1/254.0,1/320.2,0.0,141.6
"
485
",6383,17,18,0,1311,1/375.5,1/354.6,0.0,182.4
"
486
",2071,6,3,0,661,1/345.2,1/690.3,0.0,230.1
"
487
",4291,12,9,0,827,1/357.6,1/476.8,0.0,204.3
"
488
",7587,23,26,0,1280,1/329.9,1/291.8,0.0,154.8
"
489
",7666,33,25,0,2806,1/232.3,1/306.6,0.0,132.2
"
490
",6615,26,20,0,872,1/254.4,1/330.8,0.0,143.8
"
491
",6807,37,27,0,4024,1/184.0,1/252.1,0.0,106.4
"
492
",5044,22,15,0,1308,1/229.3,1/336.3,0.0,136.3
"
493
",5814,19,15,0,862,1/306.0,1/387.6,0.0,171.0
"
494
",5817,15,16,0,643,1/387.8,1/363.6,0.0,187.6
"
495
",6617,19,19,0,1178,1/348.3,1/348.3,0.0,174.1
"
496
",8116,38,31,0,3278,1/213.6,1/261.8,0.0,117.6
"
497
",6041,20,16,0,984,1/302.1,1/377.6,0.0,167.8
"
498
",7454,29,28,0,1500,1/257.0,1/266.2,0.0,130.8
"
499
",6117,28,14,0,2080,1/218.5,1/436.9,0.0,145.6
"
500
",2562,9,6,0,720,1/284.7,1/427.0,0.0,170.8
"
501
",6972,31,25,0,2158,1/224.9,1/278.9,0.0,124.5
"
502
",7745,27,27,0,1075,1/286.9,1/286.9,0.0,143.4
"
503
",6332,26,25,0,1676,1/243.5,1/253.3,0.0,124.2
"
504
",4508,13,12,0,558,1/346.8,1/375.7,0.0,180.3
"
505
",9275,34,20,0,890,1/272.8,1/463.8,0.0,171.8
"
506
",5973,23,12,0,1377,1/259.7,1/497.8,0.0,170.7
"
507
",5299,17,12,0,574,1/311.7,1/441.6,0.0,182.7
"
508
",5400,16,15,0,816,1/337.5,1/360.0,0.0,174.2
"
509
",6853,20,26,0,1324,1/342.7,1/263.6,0.0,149.0
"
510
",5234,19,17,0,1060,1/275.5,1/307.9,0.0,145.4
"
511
",5739,20,16,0,1829,1/287.0,1/358.7,0.0,159.4
"
512
",7967,35,31,0,2626,1/227.6,1/257.0,0.0,120.7
"
513
",6019,25,12,0,1590,1/240.8,1/501.6,0.0,162.7
"
514
",4255,14,11,0,786,1/303.9,1/386.8,0.0,170.2
"
515
",3140,6,11,0,437,1/523.3,1/285.5,0.0,184.7
"
516
",5201,19,16,0,1062,1/273.7,1/325.1,0.0,148.6
"
517
",7200,25,20,0,1421,1/288.0,1/360.0,0.0,160.0
"
526
",3726,8,7,0,581,1/465.8,1/532.3,0.0,248.4
"
527
",8672,38,23,0,2467,1/228.2,1/377.0,0.0,142.2
"
528
",3470,10,9,0,662,1/347.0,1/385.6,0.0,182.6
"
529
",3690,12,7,0,664,1/307.5,1/527.1,0.0,194.2
"
530
",7239,21,23,0,895,1/344.7,1/314.7,0.0,164.5
"
531
",6396,27,21,0,2092,1/236.9,1/304.6,0.0,133.3
"
532
",5382,26,11,0,2368,1/207.0,1/489.3,0.0,145.5
"
533
",7538,34,25,0,2247,1/221.7,1/301.5,0.0,127.8
"
534
",6544,26,15,0,1189,1/251.7,1/436.3,0.0,159.6
"
535
",5737,17,11,0,817,1/337.5,1/521.5,0.0,204.9
