台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率
"
478
",6580,17,18,0,1136,1/387.1,1/365.6,0.0,188.0
"
479
",5137,9,14,0,352,1/570.8,1/366.9,0.0,223.3
"
480
",3438,8,5,0,617,1/429.8,1/687.6,0.0,264.5
"
481
",4706,29,13,0,3289,1/162.3,1/362.0,0.0,112.0
"
482
",2729,7,5,0,546,1/389.9,1/545.8,0.0,227.4
"
483
",7327,28,24,0,1949,1/261.7,1/305.3,0.0,140.9
"
484
",1344,5,0,0,560,1/268.8,1/0.0,0.0,268.8
"
485
",6276,31,22,0,1942,1/202.5,1/285.3,0.0,118.4
"
486
",7724,35,27,0,2342,1/220.7,1/286.1,0.0,124.6
"
487
",7784,32,25,0,2430,1/243.3,1/311.4,0.0,136.6
"
488
",3882,17,6,0,1383,1/228.4,1/647.0,0.0,168.8
"
489
",6541,19,23,0,908,1/344.3,1/284.4,0.0,155.7
"
490
",8384,40,28,0,2902,1/209.6,1/299.4,0.0,123.3
"
491
",3919,7,13,0,483,1/559.9,1/301.5,0.0,196.0
"
492
",7825,22,25,0,916,1/355.7,1/313.0,0.0,166.5
"
493
",4806,17,9,0,1475,1/282.7,1/534.0,0.0,184.8
"
494
",7540,30,21,0,1869,1/251.3,1/359.0,0.0,147.8
"
495
",5493,23,14,0,1508,1/238.8,1/392.4,0.0,148.5
"
496
",6899,24,19,0,1615,1/287.5,1/363.1,0.0,160.4
"
497
",7786,23,25,0,1075,1/338.5,1/311.4,0.0,162.2
"
498
",4937,18,9,0,1060,1/274.3,1/548.6,0.0,182.9
"
499
",5520,16,20,0,1145,1/345.0,1/276.0,0.0,153.3
"
500
",7678,32,30,0,2290,1/239.9,1/255.9,0.0,123.8
"
501
",7148,32,29,0,3038,1/223.4,1/246.5,0.0,117.2
"
502
",3772,18,10,0,1413,1/209.6,1/377.2,0.0,134.7
"
503
",8181,35,25,0,2009,1/233.7,1/327.2,0.0,136.4
"
504
",2174,4,7,0,391,1/543.5,1/310.6,0.0,197.6
"
505
",7453,30,31,0,2548,1/248.4,1/240.4,0.0,122.2
"
506
",3176,9,11,0,841,1/352.9,1/288.7,0.0,158.8
"
507
",2958,11,5,0,1057,1/268.9,1/591.6,0.0,184.9
"
508
",3830,11,12,0,1050,1/348.2,1/319.2,0.0,166.5
"
509
",6925,32,23,0,2278,1/216.4,1/301.1,0.0,125.9
"
510
",7300,30,28,0,2116,1/243.3,1/260.7,0.0,125.9
"
511
",2090,6,4,0,632,1/348.3,1/522.5,0.0,209.0
"
512
",5314,19,11,0,903,1/279.7,1/483.1,0.0,177.1
"
513
",8118,26,31,0,1617,1/312.2,1/261.9,0.0,142.4
"
514
",8318,38,24,0,1720,1/218.9,1/346.6,0.0,134.2
"
515
",3302,7,4,0,404,1/471.7,1/825.5,0.0,300.2
"
516
",7088,29,16,0,2220,1/244.4,1/443.0,0.0,157.5
"
517
",7734,32,20,0,1344,1/241.7,1/386.7,0.0,148.7
"
524
",8815,37,34,0,1932,1/238.2,1/259.3,0.0,124.2
"
525
",5178,18,10,0,1371,1/287.7,1/517.8,0.0,184.9
"
526
",4670,25,11,0,2374,1/186.8,1/424.5,0.0,129.7
"
527
",5493,24,13,0,1593,1/228.9,1/422.5,0.0,148.5
"
528
",5353,23,19,0,2196,1/232.7,1/281.7,0.0,127.5
"
529
",8571,38,29,0,2706,1/225.6,1/295.6,0.0,127.9
"
530
",4089,11,12,0,640,1/371.7,1/340.8,0.0,177.8
"
531
",5139,15,9,0,1154,1/342.6,1/571.0,0.0,214.1
"
532
",6159,22,19,0,1189,1/280.0,1/324.2,0.0,150.2
"
533
",8230,23,33,0,1130,1/357.8,1/249.4,0.0,147.0
"
534
",5551,17,16,0,889,1/326.5,1/346.9,0.0,168.2
"
535
",5244,17,9,0,949,1/308.5,1/582.7,0.0,201.7
