台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率
"
478
",8736,41,22,0,1757,1/213.1,1/397.1,0.0,138.7
"
479
",5554,10,12,0,593,1/555.4,1/462.8,0.0,252.5
"
480
",6364,21,15,0,993,1/303.0,1/424.3,0.0,176.8
"
481
",5224,25,13,0,1773,1/209.0,1/401.8,0.0,137.5
"
482
",8694,33,23,0,2869,1/263.5,1/378.0,0.0,155.3
"
483
",7448,35,19,0,2942,1/212.8,1/392.0,0.0,137.9
"
484
",6945,28,10,0,1303,1/248.0,1/694.5,0.0,182.8
"
485
",6344,20,19,0,1128,1/317.2,1/333.9,0.0,162.7
"
486
",4226,7,11,0,451,1/603.7,1/384.2,0.0,234.8
"
487
",8551,44,28,0,3968,1/194.3,1/305.4,0.0,118.8
"
488
",7040,33,23,0,3382,1/213.3,1/306.1,0.0,125.7
"
489
",5490,23,12,0,1651,1/238.7,1/457.5,0.0,156.9
"
490
",8001,36,30,0,2707,1/222.3,1/266.7,0.0,121.2
"
491
",7974,31,38,0,2266,1/257.2,1/209.8,0.0,115.6
"
492
",8462,32,24,0,1620,1/264.4,1/352.6,0.0,151.1
"
493
",6721,26,22,0,1870,1/258.5,1/305.5,0.0,140.0
"
494
",8811,42,28,0,2742,1/209.8,1/314.7,0.0,125.9
"
495
",7943,28,28,0,1988,1/283.7,1/283.7,0.0,141.8
"
496
",6659,26,15,0,1255,1/256.1,1/443.9,0.0,162.4
"
497
",7482,27,20,0,1479,1/277.1,1/374.1,0.0,159.2
"
498
",7841,18,23,0,845,1/435.6,1/340.9,0.0,191.2
"
499
",8056,35,22,0,2968,1/230.2,1/366.2,0.0,141.3
"
500
",7362,37,19,0,2088,1/199.0,1/387.5,0.0,131.5
"
501
",5332,18,9,0,1647,1/296.2,1/592.4,0.0,197.5
"
502
",7914,36,28,0,2224,1/219.8,1/282.6,0.0,123.7
"
503
",5432,17,15,0,1508,1/319.5,1/362.1,0.0,169.8
"
504
",5081,11,10,0,653,1/461.9,1/508.1,0.0,242.0
"
505
",6687,23,16,0,1144,1/290.7,1/417.9,0.0,171.5
"
506
",5516,24,16,0,1593,1/229.8,1/344.8,0.0,137.9
"
507
",9016,26,24,0,1162,1/346.8,1/375.7,0.0,180.3
"
508
",5984,17,19,0,799,1/352.0,1/314.9,0.0,166.2
"
509
",4422,13,5,0,1263,1/340.2,1/884.4,0.0,245.7
"
510
",8257,27,26,0,1271,1/305.8,1/317.6,0.0,155.8
"
511
",6458,26,15,0,1545,1/248.4,1/430.5,0.0,157.5
"
512
",5117,21,6,0,902,1/243.7,1/852.8,0.0,189.5
"
513
",8665,35,29,0,2097,1/247.6,1/298.8,0.0,135.4
"
514
",7465,33,30,0,2876,1/226.2,1/248.8,0.0,118.5
"
515
",8624,28,36,0,1706,1/308.0,1/239.6,0.0,134.8
"
516
",7812,43,19,0,3635,1/181.7,1/411.2,0.0,126.0
"
517
",9269,32,36,0,1223,1/289.7,1/257.5,0.0,136.3
"
526
",7590,39,25,0,4048,1/194.6,1/303.6,0.0,118.6
"
527
",5539,26,17,0,2084,1/213.0,1/325.8,0.0,128.8
"
528
",7698,23,22,0,775,1/334.7,1/349.9,0.0,171.1
"
529
",6892,24,18,0,790,1/287.2,1/382.9,0.0,164.1
"
530
",7540,29,18,0,1747,1/260.0,1/418.9,0.0,160.4
"
531
",5861,20,10,0,671,1/293.1,1/586.1,0.0,195.4
"
532
",7746,23,23,0,845,1/336.8,1/336.8,0.0,168.4
"
533
",8575,35,24,0,2469,1/245.0,1/357.3,0.0,145.3
"
534
",6946,24,17,0,956,1/289.4,1/408.6,0.0,169.4
"
535
",6793,22,14,0,781,1/308.8,1/485.2,0.0,188.7
