台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率
"
478
",7257,28,23,0,1248,1/259.2,1/315.5,0.0,142.3
"
479
",5382,20,16,0,995,1/269.1,1/336.4,0.0,149.5
"
480
",2775,7,5,0,657,1/396.4,1/555.0,0.0,231.3
"
481
",7519,35,35,0,2863,1/214.8,1/214.8,0.0,107.4
"
482
",5355,19,12,0,1023,1/281.8,1/446.3,0.0,172.7
"
483
",8811,28,25,0,1878,1/314.7,1/352.4,0.0,166.2
"
484
",1321,5,1,0,575,1/264.2,1/1321.0,0.0,220.2
"
485
",6850,32,23,0,2506,1/214.1,1/297.8,0.0,124.5
"
486
",5430,29,10,0,1641,1/187.2,1/543.0,0.0,139.2
"
487
",7701,21,22,0,727,1/366.7,1/350.0,0.0,179.1
"
488
",8308,29,33,0,1630,1/286.5,1/251.8,0.0,134.0
"
489
",5664,19,11,0,767,1/298.1,1/514.9,0.0,188.8
"
490
",3908,19,10,0,1892,1/205.7,1/390.8,0.0,134.8
"
491
",3210,16,5,0,1453,1/200.6,1/642.0,0.0,152.9
"
492
",7673,33,27,0,2279,1/232.5,1/284.2,0.0,127.9
"
493
",2644,10,5,0,828,1/264.4,1/528.8,0.0,176.3
"
494
",7469,30,26,0,2518,1/249.0,1/287.3,0.0,133.4
"
495
",3238,10,9,0,1212,1/323.8,1/359.8,0.0,170.4
"
496
",6298,26,21,0,1926,1/242.2,1/299.9,0.0,134.0
"
497
",5008,10,9,0,403,1/500.8,1/556.4,0.0,263.6
"
498
",3514,9,6,0,448,1/390.4,1/585.7,0.0,234.3
"
499
",7262,33,15,0,2672,1/220.1,1/484.1,0.0,151.3
"
500
",7063,27,31,0,1940,1/261.6,1/227.8,0.0,121.8
"
501
",3113,9,6,0,931,1/345.9,1/518.8,0.0,207.5
"
502
",4827,21,13,0,1515,1/229.9,1/371.3,0.0,142.0
"
503
",9107,39,32,0,3011,1/233.5,1/284.6,0.0,128.3
"
504
",3871,9,10,0,745,1/430.1,1/387.1,0.0,203.7
"
505
",7222,28,22,0,2220,1/257.9,1/328.3,0.0,144.4
"
506
",5548,22,15,0,1311,1/252.2,1/369.9,0.0,149.9
"
507
",1205,2,2,0,406,1/602.5,1/602.5,0.0,301.3
"
508
",7464,25,26,0,1703,1/298.6,1/287.1,0.0,146.4
"
509
",2084,8,2,0,475,1/260.5,1/1042.0,0.0,208.4
"
510
",5047,19,16,0,1035,1/265.6,1/315.4,0.0,144.2
"
511
",6901,36,15,0,2558,1/191.7,1/460.1,0.0,135.3
"
512
",5169,20,11,0,1059,1/258.5,1/469.9,0.0,166.7
"
513
",4533,12,12,0,721,1/377.8,1/377.8,0.0,188.9
"
514
",6001,21,14,0,1148,1/285.8,1/428.6,0.0,171.5
"
515
",3488,10,10,0,918,1/348.8,1/348.8,0.0,174.4
"
516
",6361,26,18,0,2458,1/244.7,1/353.4,0.0,144.6
"
517
",4612,8,11,0,715,1/576.5,1/419.3,0.0,242.7
"
524
",4451,19,7,0,1619,1/234.3,1/635.9,0.0,171.2
"
525
",5039,14,13,0,634,1/359.9,1/387.6,0.0,186.6
"
526
",5831,22,22,0,1129,1/265.0,1/265.0,0.0,132.5
"
527
",2526,5,5,0,433,1/505.2,1/505.2,0.0,252.6
"
528
",7017,22,25,0,1996,1/319.0,1/280.7,0.0,149.3
"
529
",7008,21,17,0,618,1/333.7,1/412.2,0.0,184.4
"
530
",4217,14,11,0,954,1/301.2,1/383.4,0.0,168.7
"
531
",2476,3,4,0,375,1/825.3,1/619.0,0.0,353.7
"
532
",4749,23,13,0,1855,1/206.5,1/365.3,0.0,131.9
"
533
",3585,7,11,0,730,1/512.1,1/325.9,0.0,199.2
"
534
",5782,19,16,0,1335,1/304.3,1/361.4,0.0,165.2
"
535
",8049,29,19,0,2111,1/277.6,1/423.6,0.0,167.7
