台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率
"
478
",5239,17,9,0,805,1/308.2,1/582.1,0.0,201.5
"
479
",2592,6,5,0,505,1/432.0,1/518.4,0.0,235.6
"
480
",6549,22,16,0,1209,1/297.7,1/409.3,0.0,172.3
"
481
",7726,35,27,0,3127,1/220.7,1/286.1,0.0,124.6
"
482
",2922,6,5,0,599,1/487.0,1/584.4,0.0,265.6
"
483
",4331,12,9,0,533,1/360.9,1/481.2,0.0,206.2
"
484
",2381,7,3,0,459,1/340.1,1/793.7,0.0,238.1
"
485
",7529,24,17,0,1072,1/313.7,1/442.9,0.0,183.6
"
486
",8192,37,21,0,2609,1/221.4,1/390.1,0.0,141.2
"
487
",4926,21,12,0,1012,1/234.6,1/410.5,0.0,149.3
"
488
",8661,40,28,0,3019,1/216.5,1/309.3,0.0,127.4
"
489
",4319,21,9,0,1725,1/205.7,1/479.9,0.0,144.0
"
490
",4182,13,11,0,566,1/321.7,1/380.2,0.0,174.3
"
491
",6018,33,18,0,3504,1/182.4,1/334.3,0.0,118.0
"
492
",5855,20,16,0,1129,1/292.8,1/365.9,0.0,162.6
"
493
",7220,27,22,0,1343,1/267.4,1/328.2,0.0,147.3
"
494
",7236,25,28,0,1751,1/289.4,1/258.4,0.0,136.5
"
495
",6165,22,11,0,862,1/280.2,1/560.5,0.0,186.8
"
496
",7188,24,16,0,992,1/299.5,1/449.3,0.0,179.7
"
497
",5068,17,6,0,753,1/298.1,1/844.7,0.0,220.3
"
498
",7481,23,17,0,723,1/325.3,1/440.1,0.0,187.0
"
499
",7667,28,30,0,2393,1/273.8,1/255.6,0.0,132.2
"
500
",9182,38,35,0,2677,1/241.6,1/262.3,0.0,125.8
"
501
",8590,43,33,0,4224,1/199.8,1/260.3,0.0,113.0
"
502
",6399,31,17,0,1665,1/206.4,1/376.4,0.0,133.3
"
503
",4421,14,10,0,936,1/315.8,1/442.1,0.0,184.2
"
504
",5823,23,12,0,1614,1/253.2,1/485.3,0.0,166.4
"
505
",5517,23,13,0,1225,1/239.9,1/424.4,0.0,153.3
"
506
",8089,35,23,0,2163,1/231.1,1/351.7,0.0,139.5
"
507
",4344,12,9,0,740,1/362.0,1/482.7,0.0,206.9
"
508
",5105,12,15,0,516,1/425.4,1/340.3,0.0,189.1
"
509
",8474,30,32,0,1159,1/282.5,1/264.8,0.0,136.7
"
510
",7406,37,22,0,3071,1/200.2,1/336.6,0.0,125.5
"
511
",3281,8,9,0,734,1/410.1,1/364.6,0.0,193.0
"
512
",2890,12,3,0,846,1/240.8,1/963.3,0.0,192.7
"
513
",3367,7,10,0,371,1/481.0,1/336.7,0.0,198.1
"
514
",7882,41,34,0,4740,1/192.2,1/231.8,0.0,105.1
"
515
",8552,21,32,0,1218,1/407.2,1/267.3,0.0,161.4
"
516
",7977,26,19,0,824,1/306.8,1/419.8,0.0,177.3
"
517
",6359,20,15,0,866,1/318.0,1/423.9,0.0,181.7
"
526
",6709,30,21,0,1701,1/223.6,1/319.5,0.0,131.5
"
527
",7394,39,25,0,3559,1/189.6,1/295.8,0.0,115.5
"
528
",7403,26,22,0,936,1/284.7,1/336.5,0.0,154.2
"
529
",4631,12,12,0,746,1/385.9,1/385.9,0.0,193.0
"
530
",6064,22,15,0,1041,1/275.6,1/404.3,0.0,163.9
"
531
",5013,21,11,0,1432,1/238.7,1/455.7,0.0,156.7
"
532
",6337,22,22,0,1248,1/288.0,1/288.0,0.0,144.0
"
533
",7180,33,14,0,2512,1/217.6,1/512.9,0.0,152.8
"
534
",5713,23,12,0,1775,1/248.4,1/476.1,0.0,163.2
"
535
",7807,37,24,0,2995,1/211.0,1/325.3,0.0,128.0
