台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率
"
478
",6971,24,34,0,2269,1/290.5,1/205.0,0.0,120.2
"
479
",2576,8,5,0,737,1/322.0,1/515.2,0.0,198.2
"
480
",2370,6,6,0,641,1/395.0,1/395.0,0.0,197.5
"
481
",7913,35,36,0,3020,1/226.1,1/219.8,0.0,111.5
"
482
",7033,30,30,0,3647,1/234.4,1/234.4,0.0,117.2
"
483
",6084,22,15,0,955,1/276.5,1/405.6,0.0,164.4
"
484
",6164,22,12,0,1446,1/280.2,1/513.7,0.0,181.3
"
485
",2620,6,5,0,462,1/436.7,1/524.0,0.0,238.2
"
486
",6044,24,16,0,1406,1/251.8,1/377.8,0.0,151.1
"
487
",4867,16,14,0,794,1/304.2,1/347.6,0.0,162.2
"
488
",5938,19,16,0,900,1/312.5,1/371.1,0.0,169.7
"
489
",4385,15,11,0,777,1/292.3,1/398.6,0.0,168.7
"
490
",3639,12,7,0,988,1/303.3,1/519.9,0.0,191.5
"
491
",2994,11,5,0,803,1/272.2,1/598.8,0.0,187.1
"
492
",5218,20,16,0,1875,1/260.9,1/326.1,0.0,144.9
"
493
",7856,44,28,0,4855,1/178.5,1/280.6,0.0,109.1
"
494
",7527,25,23,0,1681,1/301.1,1/327.3,0.0,156.8
"
495
",6039,16,22,0,947,1/377.4,1/274.5,0.0,158.9
"
496
",4960,16,16,0,966,1/310.0,1/310.0,0.0,155.0
"
497
",7035,27,27,0,1965,1/260.6,1/260.6,0.0,130.3
"
498
",6703,27,17,0,1247,1/248.3,1/394.3,0.0,152.3
"
499
",5504,21,15,0,831,1/262.1,1/366.9,0.0,152.9
"
500
",4915,15,20,0,1868,1/327.7,1/245.8,0.0,140.4
"
501
",2305,8,3,0,439,1/288.1,1/768.3,0.0,209.5
"
502
",6291,24,22,0,1772,1/262.1,1/286.0,0.0,136.8
"
503
",3493,10,6,0,483,1/349.3,1/582.2,0.0,218.3
"
504
",1846,8,3,0,1218,1/230.8,1/615.3,0.0,167.8
"
505
",5677,23,16,0,1438,1/246.8,1/354.8,0.0,145.6
"
506
",5590,22,23,0,1501,1/254.1,1/243.0,0.0,124.2
"
507
",2680,8,6,0,1026,1/335.0,1/446.7,0.0,191.4
"
508
",2324,6,2,0,301,1/387.3,1/1162.0,0.0,290.5
"
509
",6625,32,12,0,1848,1/207.0,1/552.1,0.0,150.6
"
510
",1291,3,1,0,248,1/430.3,1/1291.0,0.0,322.8
"
511
",3104,10,5,0,894,1/310.4,1/620.8,0.0,206.9
"
512
",7066,32,23,0,2635,1/220.8,1/307.2,0.0,128.5
"
513
",9417,39,39,0,2952,1/241.5,1/241.5,0.0,120.7
"
514
",5646,21,17,0,947,1/268.9,1/332.1,0.0,148.6
"
515
",2028,5,5,0,476,1/405.6,1/405.6,0.0,202.8
"
516
",7300,26,25,0,1235,1/280.8,1/292.0,0.0,143.1
"
517
",7564,31,33,0,3560,1/244.0,1/229.2,0.0,118.2
"
524
",3515,12,7,0,761,1/292.9,1/502.1,0.0,185.0
"
525
",6883,28,18,0,1862,1/245.8,1/382.4,0.0,149.6
"
526
",6168,28,26,0,2608,1/220.3,1/237.2,0.0,114.2
"
527
",5693,21,12,0,1166,1/271.1,1/474.4,0.0,172.5
"
528
",6680,26,17,0,1177,1/256.9,1/392.9,0.0,155.3
"
529
",6168,23,20,0,878,1/268.2,1/308.4,0.0,143.4
"
530
",8139,35,21,0,2272,1/232.5,1/387.6,0.0,145.3
"
531
",4422,26,12,0,2242,1/170.1,1/368.5,0.0,116.4
"
532
",3251,10,6,0,794,1/325.1,1/541.8,0.0,203.2
"
533
",4625,15,12,0,997,1/308.3,1/385.4,0.0,171.3
"
534
",2100,7,4,0,676,1/300.0,1/525.0,0.0,190.9
"
535
",7042,33,27,0,2830,1/213.4,1/260.8,0.0,117.4
