台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率
"
478
",7569,28,18,0,1123,1/270.3,1/420.5,0.0,164.5
"
479
",6580,21,25,0,1567,1/313.3,1/263.2,0.0,143.0
"
480
",6518,25,16,0,1672,1/260.7,1/407.4,0.0,159.0
"
481
",7940,31,25,0,1593,1/256.1,1/317.6,0.0,141.8
"
482
",7428,18,26,0,1058,1/412.7,1/285.7,0.0,168.8
"
483
",6366,24,22,0,1805,1/265.3,1/289.4,0.0,138.4
"
484
",8196,30,29,0,1695,1/273.2,1/282.6,0.0,138.9
"
485
",8343,26,25,0,1015,1/320.9,1/333.7,0.0,163.6
"
486
",6414,25,18,0,2062,1/256.6,1/356.3,0.0,149.2
"
487
",5076,17,11,0,1182,1/298.6,1/461.5,0.0,181.3
"
488
",3535,14,3,0,745,1/252.5,1/1178.3,0.0,207.9
"
489
",6178,19,17,0,941,1/325.2,1/363.4,0.0,171.6
"
490
",5381,18,15,0,821,1/298.9,1/358.7,0.0,163.1
"
491
",3391,11,2,0,611,1/308.3,1/1695.5,0.0,260.8
"
492
",8590,44,24,0,3457,1/195.2,1/357.9,0.0,126.3
"
493
",4748,18,14,0,2168,1/263.8,1/339.1,0.0,148.4
"
494
",8478,31,32,0,1380,1/273.5,1/264.9,0.0,134.6
"
495
",4985,15,10,0,692,1/332.3,1/498.5,0.0,199.4
"
496
",7437,27,19,0,757,1/275.4,1/391.4,0.0,161.7
"
497
",5572,18,14,0,1086,1/309.6,1/398.0,0.0,174.1
"
498
",6623,23,18,0,1457,1/288.0,1/367.9,0.0,161.5
"
499
",6056,14,21,0,852,1/432.6,1/288.4,0.0,173.0
"
500
",5983,17,18,0,688,1/351.9,1/332.4,0.0,170.9
"
501
",7226,29,23,0,1728,1/249.2,1/314.2,0.0,139.0
"
502
",6696,22,19,0,1164,1/304.4,1/352.4,0.0,163.3
"
503
",5287,17,11,0,851,1/311.0,1/480.6,0.0,188.8
"
504
",4343,18,7,0,1118,1/241.3,1/620.4,0.0,173.7
"
505
",7136,26,17,0,1219,1/274.5,1/419.8,0.0,166.0
"
506
",4047,11,9,0,459,1/367.9,1/449.7,0.0,202.4
"
507
",5413,26,10,0,2032,1/208.2,1/541.3,0.0,150.4
"
508
",7300,32,18,0,1680,1/228.1,1/405.6,0.0,146.0
"
509
",6466,20,24,0,1455,1/323.3,1/269.4,0.0,147.0
"
510
",8714,36,23,0,1826,1/242.1,1/378.9,0.0,147.7
"
511
",5866,18,17,0,954,1/325.9,1/345.1,0.0,167.6
"
512
",7571,25,21,0,1261,1/302.8,1/360.5,0.0,164.6
"
513
",6789,32,19,0,2830,1/212.2,1/357.3,0.0,133.1
"
514
",7580,35,28,0,2509,1/216.6,1/270.7,0.0,120.3
"
515
",8230,28,26,0,2093,1/293.9,1/316.5,0.0,152.4
"
516
",7990,34,10,0,1498,1/235.0,1/799.0,0.0,181.6
"
517
",8040,27,28,0,1794,1/297.8,1/287.1,0.0,146.2
"
526
",8966,37,37,0,3189,1/242.3,1/242.3,0.0,121.2
"
527
",8387,20,25,0,754,1/419.4,1/335.5,0.0,186.4
"
528
",6413,12,18,0,699,1/534.4,1/356.3,0.0,213.8
"
529
",7935,29,25,0,1276,1/273.6,1/317.4,0.0,146.9
"
530
",7606,29,22,0,1358,1/262.3,1/345.7,0.0,149.1
"
531
",3682,9,4,0,475,1/409.1,1/920.5,0.0,283.2
"
532
",5286,18,13,0,1415,1/293.7,1/406.6,0.0,170.5
"
533
",7290,32,20,0,2634,1/227.8,1/364.5,0.0,140.2
"
534
",5385,16,10,0,1034,1/336.6,1/538.5,0.0,207.1
"
535
",6152,20,10,0,820,1/307.6,1/615.2,0.0,205.1
