台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率
"
478
",7055,20,23,0,824,1/352.8,1/306.7,0.0,164.1
"
479
",5183,24,10,0,1072,1/216.0,1/518.3,0.0,152.4
"
480
",7016,23,16,0,1365,1/305.0,1/438.5,0.0,179.9
"
481
",7831,31,20,0,2103,1/252.6,1/391.6,0.0,153.5
"
482
",6084,21,23,0,1712,1/289.7,1/264.5,0.0,138.3
"
483
",6786,29,22,0,2314,1/234.0,1/308.5,0.0,133.1
"
484
",3777,5,9,0,272,1/755.4,1/419.7,0.0,269.8
"
485
",7337,23,23,0,1277,1/319.0,1/319.0,0.0,159.5
"
486
",7753,30,24,0,2090,1/258.4,1/323.0,0.0,143.6
"
487
",8815,45,21,0,3530,1/195.9,1/419.8,0.0,133.6
"
488
",3175,6,6,0,324,1/529.2,1/529.2,0.0,264.6
"
489
",7694,32,25,0,1827,1/240.4,1/307.8,0.0,135.0
"
490
",6691,31,15,0,1739,1/215.8,1/446.1,0.0,145.5
"
491
",6200,22,15,0,705,1/281.8,1/413.3,0.0,167.6
"
492
",5275,15,15,0,894,1/351.7,1/351.7,0.0,175.8
"
493
",4020,9,12,0,464,1/446.7,1/335.0,0.0,191.4
"
494
",7847,31,25,0,1707,1/253.1,1/313.9,0.0,140.1
"
495
",5506,17,13,0,1253,1/323.9,1/423.5,0.0,183.5
"
496
",7912,33,28,0,2016,1/239.8,1/282.6,0.0,129.7
"
497
",7892,31,28,0,1841,1/254.6,1/281.9,0.0,133.8
"
498
",5486,12,13,0,453,1/457.2,1/422.0,0.0,219.4
"
499
",5534,21,16,0,1304,1/263.5,1/345.9,0.0,149.6
"
500
",6732,23,20,0,1114,1/292.7,1/336.6,0.0,156.6
"
501
",6757,18,21,0,736,1/375.4,1/321.8,0.0,173.3
"
502
",6507,27,31,0,3245,1/241.0,1/209.9,0.0,112.2
"
503
",6767,31,18,0,2419,1/218.3,1/375.9,0.0,138.1
"
504
",7698,32,25,0,1909,1/240.6,1/307.9,0.0,135.1
"
505
",8130,30,31,0,2397,1/271.0,1/262.3,0.0,133.3
"
506
",5549,14,19,0,824,1/396.4,1/292.1,0.0,168.2
"
507
",3289,9,8,0,824,1/365.4,1/411.1,0.0,193.5
"
508
",5333,17,16,0,522,1/313.7,1/333.3,0.0,161.6
"
509
",4481,20,8,0,1337,1/224.1,1/560.1,0.0,160.0
"
510
",2826,10,3,0,495,1/282.6,1/942.0,0.0,217.4
"
511
",3897,12,8,0,712,1/324.8,1/487.1,0.0,194.9
"
512
",3527,11,6,0,973,1/320.6,1/587.8,0.0,207.5
"
513
",4795,24,9,0,1766,1/199.8,1/532.8,0.0,145.3
"
514
",6473,20,15,0,1159,1/323.7,1/431.5,0.0,184.9
"
515
",3879,13,9,0,907,1/298.4,1/431.0,0.0,176.3
"
516
",7819,30,21,0,1301,1/260.6,1/372.3,0.0,153.3
"
517
",7466,28,18,0,1421,1/266.6,1/414.8,0.0,162.3
"
526
",8458,30,26,0,1324,1/281.9,1/325.3,0.0,151.0
"
527
",4719,13,3,0,475,1/363.0,1/1573.0,0.0,294.9
"
528
",2348,10,2,0,681,1/234.8,1/1174.0,0.0,195.7
"
529
",6420,17,25,0,846,1/377.6,1/256.8,0.0,152.9
"
530
",4903,18,17,0,1297,1/272.4,1/288.4,0.0,140.1
"
531
",8643,34,25,0,1639,1/254.2,1/345.7,0.0,146.5
"
532
",3927,10,6,0,621,1/392.7,1/654.5,0.0,245.4
"
533
",5017,12,12,0,472,1/418.1,1/418.1,0.0,209.0
"
534
",4626,14,9,0,898,1/330.4,1/514.0,0.0,201.1
"
535
",7937,28,21,0,1766,1/283.5,1/378.0,0.0,162.0
