台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率,前日最終スタート
478,6935,34,20,0,2432,1/204.0,1/346.8,0.0,128.4,70
479,5021,16,14,0,1258,1/313.8,1/358.6,0.0,167.4,192
480,7020,30,26,0,2457,1/234.0,1/270.0,0.0,125.4,80
481,4930,14,12,0,552,1/352.1,1/410.8,0.0,189.6,304
482,2099,5,2,0,333,1/419.8,1/1049.5,0.0,299.9,195
483,5892,24,16,0,1194,1/245.5,1/368.3,0.0,147.3,176
484,5283,28,5,0,1996,1/188.7,1/1056.6,0.0,160.1,89
485,4326,19,18,0,2137,1/227.7,1/240.3,0.0,116.9,597
486,5806,21,15,0,965,1/276.5,1/387.1,0.0,161.3,210
487,2007,6,1,0,625,1/334.5,1/2007.0,0.0,286.7,379
488,3910,13,6,0,733,1/300.8,1/651.7,0.0,205.8,185
489,8003,25,20,0,1910,1/320.1,1/400.2,0.0,177.8,762
490,3609,11,10,0,1706,1/328.1,1/360.9,0.0,171.9,73
491,7294,34,19,0,3345,1/214.5,1/383.9,0.0,137.6,735
492,1890,4,4,0,445,1/472.5,1/472.5,0.0,236.3,187
493,6587,21,12,0,635,1/313.7,1/548.9,0.0,199.6,169
494,4223,15,8,0,1283,1/281.5,1/527.9,0.0,183.6,83
495,7628,29,25,0,2260,1/263.0,1/305.1,0.0,141.3,22
496,2508,4,9,0,346,1/627.0,1/278.7,0.0,192.9,388
497,7871,33,27,0,1812,1/238.5,1/291.5,0.0,131.2,255
498,5719,21,10,0,1172,1/272.3,1/571.9,0.0,184.5,240
499,6543,23,20,0,1609,1/284.5,1/327.2,0.0,152.2,127
500,8652,42,36,0,3851,1/206.0,1/240.3,0.0,110.9,553
501,4902,21,18,0,2421,1/233.4,1/272.3,0.0,125.7,105
502,7391,27,27,0,1856,1/273.7,1/273.7,0.0,136.9,206
503,4575,15,12,0,1098,1/305.0,1/381.3,0.0,169.4,190
504,6620,24,21,0,1043,1/275.8,1/315.2,0.0,147.1,121
505,3809,11,5,0,696,1/346.3,1/761.8,0.0,238.1,194
506,4878,17,7,0,669,1/286.9,1/696.9,0.0,203.3,408
507,4484,18,10,0,1079,1/249.1,1/448.4,0.0,160.1,37
508,4414,15,10,0,731,1/294.3,1/441.4,0.0,176.6,486
509,5468,15,16,0,1129,1/364.5,1/341.8,0.0,176.4,335
510,6466,22,18,0,1038,1/293.9,1/359.2,0.0,161.7,223
511,4771,13,14,0,793,1/367.0,1/340.8,0.0,176.7,70
512,4383,14,7,0,1076,1/313.1,1/626.1,0.0,208.7,139
513,1816,5,2,0,944,1/363.2,1/908.0,0.0,259.4,146
514,6370,28,15,0,1741,1/227.5,1/424.7,0.0,148.1,154
515,3126,9,9,0,596,1/347.3,1/347.3,0.0,173.7,114
516,4176,10,17,0,947,1/417.6,1/245.6,0.0,154.7,114
517,7324,23,26,0,1233,1/318.4,1/281.7,0.0,149.5,122
526,5211,20,10,0,950,1/260.6,1/521.1,0.0,173.7,193
527,6299,23,16,0,1410,1/273.9,1/393.7,0.0,161.5,339
528,1703,6,2,0,804,1/283.8,1/851.5,0.0,212.9,141
529,8837,58,30,0,6663,1/152.4,1/294.6,0.0,100.4,298
530,2522,6,10,0,654,1/420.3,1/252.2,0.0,157.6,272
531,2543,6,7,0,444,1/423.8,1/363.3,0.0,195.6,99
532,6622,21,25,0,921,1/315.3,1/264.9,0.0,144.0,166
533,6489,31,14,0,1772,1/209.3,1/463.5,0.0,144.2,320
534,6133,22,23,0,1804,1/278.8,1/266.7,0.0,136.3,139
535,6971,23,20,1,1253,1/303.1,1/348.6,6971.0,162.1,161
