台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率
"
478
",8092,42,23,0,3328,1/192.7,1/351.8,0.0,124.5
"
479
",8152,23,21,0,917,1/354.4,1/388.2,0.0,185.3
"
480
",7554,22,24,0,927,1/343.4,1/314.8,0.0,164.2
"
481
",7596,26,24,0,1129,1/292.2,1/316.5,0.0,151.9
"
482
",8556,34,37,0,2985,1/251.6,1/231.2,0.0,120.5
"
483
",8697,43,30,0,3890,1/202.3,1/289.9,0.0,119.1
"
484
",9580,42,38,0,3527,1/228.1,1/252.1,0.0,119.8
"
485
",8541,35,26,0,2342,1/244.0,1/328.5,0.0,140.0
"
486
",8486,33,33,0,2710,1/257.2,1/257.2,0.0,128.6
"
487
",7973,34,25,0,1937,1/234.5,1/318.9,0.0,135.1
"
488
",7961,34,24,0,2942,1/234.1,1/331.7,0.0,137.3
"
489
",8066,25,39,0,1554,1/322.6,1/206.8,0.0,126.0
"
490
",8753,32,29,0,1180,1/273.5,1/301.8,0.0,143.5
"
491
",9566,34,25,0,1668,1/281.4,1/382.6,0.0,162.1
"
492
",7286,25,13,0,1143,1/291.4,1/560.5,0.0,191.7
"
493
",8454,33,28,0,1367,1/256.2,1/301.9,0.0,138.6
"
494
",6478,24,18,0,1415,1/269.9,1/359.9,0.0,154.2
"
495
",7559,29,14,0,1215,1/260.7,1/539.9,0.0,175.8
"
496
",8146,34,31,0,2348,1/239.6,1/262.8,0.0,125.3
"
497
",7659,20,25,0,1084,1/383.0,1/306.4,0.0,170.2
"
498
",7725,28,22,0,1715,1/275.9,1/351.1,0.0,154.5
"
499
",8099,32,29,0,2469,1/253.1,1/279.3,0.0,132.8
"
500
",9025,36,41,0,3204,1/250.7,1/220.1,0.0,117.2
"
501
",7142,31,21,0,2390,1/230.4,1/340.1,0.0,137.3
"
502
",6930,27,17,0,1609,1/256.7,1/407.6,0.0,157.5
"
503
",8277,27,21,0,1303,1/306.6,1/394.1,0.0,172.4
"
504
",8819,35,38,0,2995,1/252.0,1/232.1,0.0,120.8
"
505
",7425,34,16,0,1860,1/218.4,1/464.1,0.0,148.5
"
506
",8535,33,32,0,1701,1/258.6,1/266.7,0.0,131.3
"
507
",8101,31,23,0,1290,1/261.3,1/352.2,0.0,150.0
"
508
",8432,33,25,0,1982,1/255.5,1/337.3,0.0,145.4
"
509
",6488,19,15,0,721,1/341.5,1/432.5,0.0,190.8
"
510
",7105,26,19,0,1948,1/273.3,1/373.9,0.0,157.9
"
511
",7970,35,29,0,2455,1/227.7,1/274.8,0.0,124.5
"
512
",8265,30,41,0,2654,1/275.5,1/201.6,0.0,116.4
"
513
",7877,33,26,0,2374,1/238.7,1/303.0,0.0,133.5
"
514
",7933,24,26,0,1637,1/330.5,1/305.1,0.0,158.7
"
515
",7911,27,24,0,879,1/293.0,1/329.6,0.0,155.1
"
516
",6056,21,15,0,996,1/288.4,1/403.7,0.0,168.2
"
517
",7765,29,21,0,1291,1/267.8,1/369.8,0.0,155.3
"
526
",9476,35,37,0,1884,1/270.7,1/256.1,0.0,131.6
"
527
",7179,20,27,0,1150,1/359.0,1/265.9,0.0,152.7
"
528
",7750,34,18,0,2588,1/227.9,1/430.6,0.0,149.0
"
529
",7267,24,25,0,1823,1/302.8,1/290.7,0.0,148.3
"
530
",6295,32,13,0,2516,1/196.7,1/484.2,0.0,139.9
"
531
",7167,28,17,0,1637,1/256.0,1/421.6,0.0,159.3
"
532
",8802,34,28,0,2573,1/258.9,1/314.4,0.0,142.0
"
533
",9031,39,16,0,1183,1/231.6,1/564.4,0.0,164.2
"
534
",9203,47,33,0,5111,1/195.8,1/278.9,0.0,115.0
"
535
",8021,27,33,0,1920,1/297.1,1/243.1,0.0,133.7
