台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率
"
478
",8064,31,36,0,2625,1/260.1,1/224.0,0.0,120.4
"
479
",4703,20,11,0,1136,1/235.2,1/427.5,0.0,151.7
"
480
",6375,26,17,0,1563,1/245.2,1/375.0,0.0,148.3
"
481
",1391,4,1,0,329,1/347.8,1/1391.0,0.0,278.2
"
482
",1266,6,0,0,891,1/211.0,1/0.0,0.0,211.0
"
483
",6461,28,11,0,1544,1/230.8,1/587.4,0.0,165.7
"
484
",7268,33,17,0,2152,1/220.2,1/427.5,0.0,145.4
"
485
",6635,25,18,0,1374,1/265.4,1/368.6,0.0,154.3
"
486
",2940,7,6,0,769,1/420.0,1/490.0,0.0,226.2
"
487
",5766,19,14,0,1448,1/303.5,1/411.9,0.0,174.7
"
488
",6088,25,18,0,2007,1/243.5,1/338.2,0.0,141.6
"
489
",3465,11,9,0,768,1/315.0,1/385.0,0.0,173.3
"
490
",2342,7,5,0,771,1/334.6,1/468.4,0.0,195.2
"
491
",4225,18,12,0,1962,1/234.7,1/352.1,0.0,140.8
"
492
",4523,13,12,0,1192,1/347.9,1/376.9,0.0,180.9
"
493
",2307,5,10,0,493,1/461.4,1/230.7,0.0,153.8
"
494
",6856,23,25,0,786,1/298.1,1/274.2,0.0,142.8
"
495
",3023,9,7,0,868,1/335.9,1/431.9,0.0,188.9
"
496
",3531,12,6,0,661,1/294.3,1/588.5,0.0,196.2
"
497
",7581,36,23,0,2864,1/210.6,1/329.6,0.0,128.5
"
498
",5005,25,11,0,2495,1/200.2,1/455.0,0.0,139.0
"
499
",3784,11,9,0,1145,1/344.0,1/420.4,0.0,189.2
"
500
",6295,32,15,0,2040,1/196.7,1/419.7,0.0,133.9
"
501
",4078,9,10,0,444,1/453.1,1/407.8,0.0,214.6
"
502
",2479,4,7,0,355,1/619.8,1/354.1,0.0,225.4
"
503
",5004,27,9,0,2181,1/185.3,1/556.0,0.0,139.0
"
504
",1768,3,2,0,326,1/589.3,1/884.0,0.0,353.6
"
505
",6862,22,20,0,826,1/311.9,1/343.1,0.0,163.4
"
506
",2273,7,4,0,876,1/324.7,1/568.3,0.0,206.6
"
507
",2449,8,4,0,509,1/306.1,1/612.3,0.0,204.1
"
508
",6799,32,22,0,2918,1/212.5,1/309.0,0.0,125.9
"
509
",6998,27,20,0,1600,1/259.2,1/349.9,0.0,148.9
"
510
",4119,10,12,0,541,1/411.9,1/343.3,0.0,187.2
"
511
",1065,3,1,0,503,1/355.0,1/1065.0,0.0,266.3
"
512
",8671,32,30,0,1873,1/271.0,1/289.0,0.0,139.9
"
513
",4441,16,14,0,1081,1/277.6,1/317.2,0.0,148.0
"
514
",6681,27,16,0,1610,1/247.4,1/417.6,0.0,155.4
"
515
",6012,18,24,0,1673,1/334.0,1/250.5,0.0,143.1
"
516
",3790,15,10,0,1732,1/252.7,1/379.0,0.0,151.6
"
517
",6135,24,14,0,1075,1/255.6,1/438.2,0.0,161.4
"
524
",5935,27,21,0,2463,1/219.8,1/282.6,0.0,123.6
"
525
",4966,23,16,0,2495,1/215.9,1/310.4,0.0,127.3
"
526
",1870,5,3,0,499,1/374.0,1/623.3,0.0,233.8
"
527
",2677,9,6,0,706,1/297.4,1/446.2,0.0,178.5
"
528
",5846,26,15,0,1583,1/224.8,1/389.7,0.0,142.6
"
529
",4216,9,17,0,701,1/468.4,1/248.0,0.0,162.2
"
530
",4119,14,7,0,849,1/294.2,1/588.4,0.0,196.1
"
531
",4958,13,13,0,691,1/381.4,1/381.4,0.0,190.7
"
532
",6172,18,23,0,895,1/342.9,1/268.3,0.0,150.5
"
533
",7118,31,29,0,2494,1/229.6,1/245.4,0.0,118.6
"
534
",7389,29,26,0,1995,1/254.8,1/284.2,0.0,134.3
"
535
",7689,31,18,1,1605,1/248.0,1/427.2,7689.0,156.9
