台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率
"
478
",6742,35,24,0,3015,1/192.6,1/280.9,0.0,114.3
"
479
",6778,30,19,0,2021,1/225.9,1/356.7,0.0,138.3
"
480
",6409,22,22,0,1207,1/291.3,1/291.3,0.0,145.7
"
481
",8975,32,39,0,1514,1/280.5,1/230.1,0.0,126.4
"
482
",5961,25,18,0,1647,1/238.4,1/331.2,0.0,138.6
"
483
",3009,10,7,0,941,1/300.9,1/429.9,0.0,177.0
"
484
",8347,33,22,0,1992,1/252.9,1/379.4,0.0,151.8
"
485
",8452,35,26,0,2734,1/241.5,1/325.1,0.0,138.6
"
486
",7803,41,31,0,4566,1/190.3,1/251.7,0.0,108.4
"
487
",7079,28,19,0,1895,1/252.8,1/372.6,0.0,150.6
"
488
",6683,16,23,0,1113,1/417.7,1/290.6,0.0,171.4
"
489
",8713,43,28,0,3238,1/202.6,1/311.2,0.0,122.7
"
490
",7325,24,25,0,1169,1/305.2,1/293.0,0.0,149.5
"
491
",6400,25,16,0,1778,1/256.0,1/400.0,0.0,156.1
"
492
",5876,19,11,0,829,1/309.3,1/534.2,0.0,195.9
"
493
",6606,23,18,0,1416,1/287.2,1/367.0,0.0,161.1
"
494
",6925,25,17,0,1186,1/277.0,1/407.4,0.0,164.9
"
495
",7810,35,14,0,1924,1/223.1,1/557.9,0.0,159.4
"
496
",8782,30,34,0,1484,1/292.7,1/258.3,0.0,137.2
"
497
",7375,28,24,0,1394,1/263.4,1/307.3,0.0,141.8
"
498
",6791,19,27,0,858,1/357.4,1/251.5,0.0,147.6
"
499
",5889,11,12,0,712,1/535.4,1/490.8,0.0,256.0
"
500
",8719,38,26,0,2662,1/229.4,1/335.3,0.0,136.2
"
501
",7207,26,22,0,1371,1/277.2,1/327.6,0.0,150.1
"
502
",7640,37,23,0,2825,1/206.5,1/332.2,0.0,127.3
"
503
",5633,19,17,0,1958,1/296.5,1/331.4,0.0,156.5
"
504
",4376,12,11,0,1167,1/364.7,1/397.8,0.0,190.3
"
505
",5879,20,15,0,781,1/294.0,1/391.9,0.0,168.0
"
506
",9534,38,38,0,3286,1/250.9,1/250.9,0.0,125.4
"
507
",7465,16,27,0,806,1/466.6,1/276.5,0.0,173.6
"
508
",3081,12,5,0,708,1/256.8,1/616.2,0.0,181.2
"
509
",9282,34,35,0,1363,1/273.0,1/265.2,0.0,134.5
"
510
",5629,18,17,0,989,1/312.7,1/331.1,0.0,160.8
"
511
",8909,34,34,0,2145,1/262.0,1/262.0,0.0,131.0
"
512
",5518,15,17,0,929,1/367.9,1/324.6,0.0,172.4
"
513
",7735,22,29,0,951,1/351.6,1/266.7,0.0,151.7
"
514
",8832,34,35,0,1789,1/259.8,1/252.3,0.0,128.0
"
515
",4542,7,20,0,422,1/648.9,1/227.1,0.0,168.2
"
516
",8455,41,31,0,2997,1/206.2,1/272.7,0.0,117.4
"
517
",5762,13,18,0,862,1/443.2,1/320.1,0.0,185.9
"
524
",8895,33,28,0,1821,1/269.5,1/317.7,0.0,145.8
"
525
",6996,27,32,0,2331,1/259.1,1/218.6,0.0,118.6
"
526
",5649,26,16,0,1762,1/217.3,1/353.1,0.0,134.5
"
527
",9200,36,37,0,2799,1/255.6,1/248.6,0.0,126.0
"
528
",5164,22,11,0,1504,1/234.7,1/469.5,0.0,156.5
"
529
",5303,23,9,0,1637,1/230.6,1/589.2,0.0,165.7
"
530
",4940,17,13,0,1319,1/290.6,1/380.0,0.0,164.7
"
531
",7442,30,27,0,2285,1/248.1,1/275.6,0.0,130.6
"
532
",7943,31,21,0,1677,1/256.2,1/378.2,0.0,152.8
"
533
",3501,9,5,0,487,1/389.0,1/700.2,0.0,250.1
"
534
",6887,33,19,0,2622,1/208.7,1/362.5,0.0,132.4
"
535
",6112,16,10,0,1123,1/382.0,1/611.2,0.0,235.1
