台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率
"
478
",8455,27,27,0,1506,1/313.1,1/313.1,0.0,156.6
"
479
",4696,10,10,0,578,1/469.6,1/469.6,0.0,234.8
"
480
",7511,30,20,0,2087,1/250.4,1/375.6,0.0,150.2
"
481
",9025,39,42,0,3286,1/231.4,1/214.9,0.0,111.4
"
482
",7607,36,19,0,2591,1/211.3,1/400.4,0.0,138.3
"
483
",7996,37,27,0,2438,1/216.1,1/296.1,0.0,124.9
"
484
",6166,19,20,0,1139,1/324.5,1/308.3,0.0,158.1
"
485
",5374,23,12,0,1902,1/233.7,1/447.8,0.0,153.5
"
486
",4424,15,12,0,1123,1/294.9,1/368.7,0.0,163.9
"
487
",5034,13,12,0,876,1/387.2,1/419.5,0.0,201.4
"
488
",5460,23,16,0,1833,1/237.4,1/341.3,0.0,140.0
"
489
",8150,27,32,0,1394,1/301.9,1/254.7,0.0,138.1
"
490
",3059,12,5,0,760,1/254.9,1/611.8,0.0,179.9
"
491
",8718,40,32,0,3268,1/218.0,1/272.4,0.0,121.1
"
492
",3734,15,5,0,1096,1/248.9,1/746.8,0.0,186.7
"
493
",6620,22,22,0,1560,1/300.9,1/300.9,0.0,150.5
"
494
",7714,22,29,0,866,1/350.6,1/266.0,0.0,151.3
"
495
",5996,20,15,0,590,1/299.8,1/399.7,0.0,171.3
"
496
",6898,20,22,0,1075,1/344.9,1/313.5,0.0,164.2
"
497
",5066,15,12,0,937,1/337.7,1/422.2,0.0,187.6
"
498
",7053,23,24,0,1344,1/306.7,1/293.9,0.0,150.1
"
499
",5962,32,19,0,3216,1/186.3,1/313.8,0.0,116.9
"
500
",5421,15,16,0,1030,1/361.4,1/338.8,0.0,174.9
"
501
",5597,16,15,0,1175,1/349.8,1/373.1,0.0,180.5
"
502
",4777,13,12,0,942,1/367.5,1/398.1,0.0,191.1
"
503
",5627,14,13,0,1033,1/401.9,1/432.8,0.0,208.4
"
504
",3789,15,9,0,1134,1/252.6,1/421.0,0.0,157.9
"
505
",7484,36,24,0,2947,1/207.9,1/311.8,0.0,124.7
"
506
",6803,32,16,0,1548,1/212.6,1/425.2,0.0,141.7
"
507
",4749,16,7,0,856,1/296.8,1/678.4,0.0,206.5
"
508
",6669,29,16,0,1331,1/230.0,1/416.8,0.0,148.2
"
509
",9232,40,33,0,2922,1/230.8,1/279.8,0.0,126.5
"
510
",5287,24,13,0,1910,1/220.3,1/406.7,0.0,142.9
"
511
",9005,43,31,0,3038,1/209.4,1/290.5,0.0,121.7
"
512
",4729,17,9,0,1160,1/278.2,1/525.4,0.0,181.9
"
513
",5829,20,10,0,979,1/291.5,1/582.9,0.0,194.3
"
514
",8081,34,28,0,2365,1/237.7,1/288.6,0.0,130.3
"
515
",5372,18,16,0,912,1/298.4,1/335.8,0.0,158.0
"
516
",8567,40,29,0,3049,1/214.2,1/295.4,0.0,124.2
"
517
",6299,26,18,0,1990,1/242.3,1/349.9,0.0,143.2
"
526
",4463,13,12,0,1176,1/343.3,1/371.9,0.0,178.5
"
527
",5606,23,14,0,1287,1/243.7,1/400.4,0.0,151.5
"
528
",7043,29,23,0,1909,1/242.9,1/306.2,0.0,135.4
"
529
",7333,25,29,0,2208,1/293.3,1/252.9,0.0,135.8
"
530
",5387,17,15,0,1244,1/316.9,1/359.1,0.0,168.3
"
531
",7337,27,18,0,882,1/271.7,1/407.6,0.0,163.0
"
532
",6299,28,16,0,2143,1/225.0,1/393.7,0.0,143.2
"
533
",8519,33,30,0,1853,1/258.2,1/284.0,0.0,135.2
"
534
",4650,13,12,0,872,1/357.7,1/387.5,0.0,186.0
"
535
",8692,36,26,0,2513,1/241.4,1/334.3,0.0,140.2
