台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率,前日最終スタート
478,6129,24,17,0,1475,1/255.4,1/360.5,0.0,149.5,215
479,8221,40,28,0,3387,1/205.5,1/293.6,0.0,120.9,329
480,4981,20,10,0,1480,1/249.1,1/498.1,0.0,166.0,104
481,6809,31,26,0,2744,1/219.6,1/261.9,0.0,119.5,165
482,5823,18,11,0,830,1/323.5,1/529.4,0.0,200.8,257
483,7749,26,25,0,1085,1/298.0,1/310.0,0.0,151.9,400
484,6575,26,19,0,1413,1/252.9,1/346.1,0.0,146.1,381
485,4665,19,11,0,864,1/245.5,1/424.1,0.0,155.5,194
486,6313,26,16,0,1948,1/242.8,1/394.6,0.0,150.3,315
487,8735,35,31,0,2559,1/249.6,1/281.8,0.0,132.3,121
488,4615,17,9,0,938,1/271.5,1/512.8,0.0,177.5,347
489,7638,9,34,0,426,1/848.7,1/224.6,0.0,177.6,353
490,5332,23,12,0,1361,1/231.8,1/444.3,0.0,152.3,209
491,8314,29,30,0,1696,1/286.7,1/277.1,0.0,140.9,47
492,4380,17,12,0,1334,1/257.6,1/365.0,0.0,151.0,318
493,6988,33,19,0,2624,1/211.8,1/367.8,0.0,134.4,227
494,4861,15,9,0,443,1/324.1,1/540.1,0.0,202.5,231
495,5610,28,14,0,2338,1/200.4,1/400.7,0.0,133.6,101
496,5815,18,15,0,828,1/323.1,1/387.7,0.0,176.2,288
497,7799,22,23,0,1412,1/354.5,1/339.1,0.0,173.3,295
498,8213,39,36,0,3716,1/210.6,1/228.1,0.0,109.5,87
499,6725,31,25,0,2955,1/216.9,1/269.0,0.0,120.1,38
500,6415,25,17,0,1235,1/256.6,1/377.4,0.0,152.7,91
501,4356,12,10,0,550,1/363.0,1/435.6,0.0,198.0,224
502,4931,15,8,0,1880,1/328.7,1/616.4,0.0,214.4,92
503,7327,34,26,0,2777,1/215.5,1/281.8,0.0,122.1,151
504,7524,41,24,0,4303,1/183.5,1/313.5,0.0,115.8,140
505,5137,19,12,0,1031,1/270.4,1/428.1,0.0,165.7,201
506,3759,9,9,0,734,1/417.7,1/417.7,0.0,208.8,132
507,7367,25,24,0,841,1/294.7,1/307.0,0.0,150.3,131
508,7564,33,19,0,2076,1/229.2,1/398.1,0.0,145.5,136
509,6350,23,14,0,971,1/276.1,1/453.6,0.0,171.6,104
510,5564,17,11,0,707,1/327.3,1/505.8,0.0,198.7,168
511,6168,28,19,0,2096,1/220.3,1/324.6,0.0,131.2,314
512,4981,19,17,0,1188,1/262.2,1/293.0,0.0,138.4,199
513,8234,33,22,0,1504,1/249.5,1/374.3,0.0,149.7,119
514,8190,31,20,0,1155,1/264.2,1/409.5,0.0,160.6,137
515,4735,15,16,0,1283,1/315.7,1/295.9,0.0,152.7,38
516,7605,26,18,0,1597,1/292.5,1/422.5,0.0,172.8,179
517,6310,21,17,0,986,1/300.5,1/371.2,0.0,166.1,266
526,6727,22,18,0,1102,1/305.8,1/373.7,0.0,168.2,132
527,7052,27,23,0,2481,1/261.2,1/306.6,0.0,141.0,88
528,7098,26,26,0,2505,1/273.0,1/273.0,0.0,136.5,129
529,4849,20,10,0,1683,1/242.5,1/484.9,0.0,161.6,153
530,6507,18,22,0,854,1/361.5,1/295.8,0.0,162.7,202
531,5278,22,10,0,837,1/239.9,1/527.8,0.0,164.9,152
532,7679,32,30,0,2085,1/240.0,1/256.0,0.0,123.9,289
533,5828,19,17,0,1243,1/306.7,1/342.8,0.0,161.9,106
534,6633,24,26,0,1697,1/276.4,1/255.1,0.0,132.7,114
535,6586,23,19,0,839,1/286.3,1/346.6,0.0,156.8,102
