台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率
"
478
",4510,16,17,0,1028,1/281.9,1/265.3,0.0,136.7
"
479
",5659,17,16,0,653,1/332.9,1/353.7,0.0,171.5
"
480
",2071,5,4,0,474,1/414.2,1/517.8,0.0,230.1
"
481
",7171,27,16,0,642,1/265.6,1/448.2,0.0,166.8
"
482
",676,2,0,0,257,1/338.0,1/0.0,0.0,338.0
"
483
",8645,34,33,0,2063,1/254.3,1/262.0,0.0,129.0
"
484
",7052,35,21,0,2101,1/201.5,1/335.8,0.0,125.9
"
485
",3878,17,15,0,1431,1/228.1,1/258.5,0.0,121.2
"
486
",6038,24,22,0,1802,1/251.6,1/274.5,0.0,131.3
"
487
",7855,41,19,0,3042,1/191.6,1/413.4,0.0,130.9
"
488
",4879,14,18,0,696,1/348.5,1/271.1,0.0,152.5
"
489
",3678,9,11,0,1010,1/408.7,1/334.4,0.0,183.9
"
490
",6912,39,13,0,2988,1/177.2,1/531.7,0.0,132.9
"
491
",4697,15,9,0,833,1/313.1,1/521.9,0.0,195.7
"
492
",4065,12,15,0,694,1/338.8,1/271.0,0.0,150.6
"
493
",8350,36,33,0,2422,1/231.9,1/253.0,0.0,121.0
"
494
",6653,35,27,0,3956,1/190.1,1/246.4,0.0,107.3
"
495
",2098,8,2,0,1139,1/262.3,1/1049.0,0.0,209.8
"
496
",6674,20,14,0,1128,1/333.7,1/476.7,0.0,196.3
"
497
",4096,16,7,0,833,1/256.0,1/585.1,0.0,178.1
"
498
",7782,36,23,0,2013,1/216.2,1/338.3,0.0,131.9
"
499
",4731,12,9,0,893,1/394.3,1/525.7,0.0,225.3
"
500
",7097,33,15,0,2286,1/215.1,1/473.1,0.0,147.9
"
501
",5097,20,19,0,1903,1/254.9,1/268.3,0.0,130.7
"
502
",7525,28,28,0,1614,1/268.8,1/268.8,0.0,134.4
"
503
",2505,6,4,0,451,1/417.5,1/626.3,0.0,250.5
"
504
",6881,21,19,0,1549,1/327.7,1/362.2,0.0,172.0
"
505
",6167,25,22,0,1219,1/246.7,1/280.3,0.0,131.2
"
506
",6898,25,28,0,1975,1/275.9,1/246.4,0.0,130.2
"
507
",8862,39,22,0,2105,1/227.2,1/402.8,0.0,145.3
"
508
",8004,29,27,0,1385,1/276.0,1/296.4,0.0,142.9
"
509
",5456,17,17,0,745,1/320.9,1/320.9,0.0,160.5
"
510
",2250,3,5,0,315,1/750.0,1/450.0,0.0,281.3
"
511
",7855,32,31,0,2348,1/245.5,1/253.4,0.0,124.7
"
512
",2750,8,6,0,1220,1/343.8,1/458.3,0.0,196.4
"
513
",2329,10,2,0,572,1/232.9,1/1164.5,0.0,194.1
"
514
",8322,30,39,0,1512,1/277.4,1/213.4,0.0,120.6
"
515
",6644,23,30,0,1618,1/288.9,1/221.5,0.0,125.4
"
516
",4188,23,12,0,2122,1/182.1,1/349.0,0.0,119.7
"
517
",5177,21,13,0,1478,1/246.5,1/398.2,0.0,152.3
"
524
",6012,29,12,0,1575,1/207.3,1/501.0,0.0,146.6
"
525
",980,4,0,0,425,1/245.0,1/0.0,0.0,245.0
"
526
",6138,36,14,0,3616,1/170.5,1/438.4,0.0,122.8
"
527
",5902,21,19,0,1579,1/281.0,1/310.6,0.0,147.6
"
528
",6386,23,22,0,1765,1/277.7,1/290.3,0.0,141.9
"
529
",2132,3,5,0,319,1/710.7,1/426.4,0.0,266.5
"
530
",4878,16,10,0,849,1/304.9,1/487.8,0.0,187.6
"
531
",2658,6,4,0,445,1/443.0,1/664.5,0.0,265.8
"
532
",6932,26,17,0,1795,1/266.6,1/407.8,0.0,161.2
"
533
",7995,36,25,0,2324,1/222.1,1/319.8,0.0,131.1
"
534
",4523,15,11,0,937,1/301.5,1/411.2,0.0,174.0
"
535
",8832,29,37,0,1577,1/304.6,1/238.7,0.0,133.8
