台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率
"
478
",6504,30,14,0,1679,1/216.8,1/464.6,0.0,147.8
"
479
",5092,14,15,0,621,1/363.7,1/339.5,0.0,175.6
"
480
",5740,19,11,0,725,1/302.1,1/521.8,0.0,191.3
"
481
",7727,33,24,0,2061,1/234.2,1/322.0,0.0,135.6
"
482
",7173,20,25,0,1260,1/358.7,1/286.9,0.0,159.4
"
483
",4780,18,10,0,1086,1/265.6,1/478.0,0.0,170.7
"
484
",3611,14,6,0,1131,1/257.9,1/601.8,0.0,180.6
"
485
",7468,24,22,0,928,1/311.2,1/339.5,0.0,162.3
"
486
",4232,20,9,0,1326,1/211.6,1/470.2,0.0,145.9
"
487
",3563,10,7,0,748,1/356.3,1/509.0,0.0,209.6
"
488
",5849,24,11,0,1647,1/243.7,1/531.7,0.0,167.1
"
489
",3867,14,8,0,1021,1/276.2,1/483.4,0.0,175.8
"
490
",3441,14,5,0,1610,1/245.8,1/688.2,0.0,181.1
"
491
",6648,26,21,0,1508,1/255.7,1/316.6,0.0,141.4
"
492
",6473,12,22,0,620,1/539.4,1/294.2,0.0,190.4
"
493
",5740,17,19,0,796,1/337.6,1/302.1,0.0,159.4
"
494
",4582,14,13,0,680,1/327.3,1/352.5,0.0,169.7
"
495
",7119,28,20,0,1020,1/254.3,1/356.0,0.0,148.3
"
496
",5534,16,19,0,894,1/345.9,1/291.3,0.0,158.1
"
497
",7435,28,17,0,1756,1/265.5,1/437.4,0.0,165.2
"
498
",7874,30,23,0,1495,1/262.5,1/342.3,0.0,148.6
"
499
",8581,32,27,0,1789,1/268.2,1/317.8,0.0,145.4
"
500
",3483,11,8,0,1293,1/316.6,1/435.4,0.0,183.3
"
501
",5932,23,16,0,952,1/257.9,1/370.8,0.0,152.1
"
502
",6449,22,20,0,962,1/293.1,1/322.5,0.0,153.5
"
503
",8554,48,25,0,4583,1/178.2,1/342.2,0.0,117.2
"
504
",4721,15,15,0,1052,1/314.7,1/314.7,0.0,157.4
"
505
",9000,31,26,0,2135,1/290.3,1/346.2,0.0,157.9
"
506
",1931,8,4,0,994,1/241.4,1/482.8,0.0,160.9
"
507
",8231,25,29,0,1707,1/329.2,1/283.8,0.0,152.4
"
508
",2493,8,3,0,451,1/311.6,1/831.0,0.0,226.6
"
509
",8199,38,20,0,2685,1/215.8,1/410.0,0.0,141.4
"
510
",8291,36,26,0,2486,1/230.3,1/318.9,0.0,133.7
"
511
",9325,39,32,0,2419,1/239.1,1/291.4,0.0,131.3
"
512
",5639,23,18,0,1226,1/245.2,1/313.3,0.0,137.5
"
513
",7288,23,27,0,1811,1/316.9,1/269.9,0.0,145.8
"
514
",6366,18,16,0,705,1/353.7,1/397.9,0.0,187.2
"
515
",8420,43,34,0,4999,1/195.8,1/247.6,0.0,109.4
"
516
",6502,30,18,0,2078,1/216.7,1/361.2,0.0,135.5
"
517
",8059,34,26,0,2468,1/237.0,1/310.0,0.0,134.3
"
526
",6665,27,15,0,1811,1/246.9,1/444.3,0.0,158.7
"
527
",6356,27,17,0,1775,1/235.4,1/373.9,0.0,144.5
"
528
",7186,28,27,0,2192,1/256.6,1/266.1,0.0,130.7
"
529
",3418,11,8,0,596,1/310.7,1/427.3,0.0,179.9
"
530
",6834,32,17,0,2105,1/213.6,1/402.0,0.0,139.5
"
531
",5694,23,16,0,1004,1/247.6,1/355.9,0.0,146.0
"
532
",5685,23,17,0,1788,1/247.2,1/334.4,0.0,142.1
"
533
",4613,12,10,0,970,1/384.4,1/461.3,0.0,209.7
"
534
",7626,30,21,0,1693,1/254.2,1/363.1,0.0,149.5
"
535
",7133,19,21,0,851,1/375.4,1/339.7,0.0,178.3
