台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率
"
478
",6122,22,17,0,836,1/278.3,1/360.1,0.0,157.0
"
479
",7835,34,21,0,2028,1/230.4,1/373.1,0.0,142.5
"
480
",1893,7,5,0,826,1/270.4,1/378.6,0.0,157.8
"
481
",4163,16,9,0,1284,1/260.2,1/462.6,0.0,166.5
"
482
",3629,13,13,0,1120,1/279.2,1/279.2,0.0,139.6
"
483
",8916,36,26,0,2232,1/247.7,1/342.9,0.0,143.8
"
484
",8945,38,26,0,2004,1/235.4,1/344.0,0.0,139.8
"
485
",4069,12,9,0,605,1/339.1,1/452.1,0.0,193.8
"
486
",3580,9,9,0,1006,1/397.8,1/397.8,0.0,198.9
"
487
",3996,12,10,0,810,1/333.0,1/399.6,0.0,181.6
"
488
",2446,9,6,0,904,1/271.8,1/407.7,0.0,163.1
"
489
",7223,24,19,0,794,1/301.0,1/380.2,0.0,168.0
"
490
",5567,27,8,0,1277,1/206.2,1/695.9,0.0,159.1
"
491
",2537,10,8,0,849,1/253.7,1/317.1,0.0,140.9
"
492
",6449,23,18,0,1279,1/280.4,1/358.3,0.0,157.3
"
493
",2002,3,4,0,481,1/667.3,1/500.5,0.0,286.0
"
494
",4293,14,10,0,1086,1/306.6,1/429.3,0.0,178.9
"
495
",3764,13,9,0,968,1/289.5,1/418.2,0.0,171.1
"
496
",7771,37,26,0,2913,1/210.0,1/298.9,0.0,123.3
"
497
",8720,33,28,0,1770,1/264.2,1/311.4,0.0,143.0
"
498
",6345,26,20,0,2007,1/244.0,1/317.3,0.0,137.9
"
499
",8579,31,31,0,1763,1/276.7,1/276.7,0.0,138.4
"
500
",5171,17,17,0,970,1/304.2,1/304.2,0.0,152.1
"
501
",6973,29,23,0,1577,1/240.4,1/303.2,0.0,134.1
"
502
",2121,4,3,0,287,1/530.3,1/707.0,0.0,303.0
"
503
",3183,10,7,0,1216,1/318.3,1/454.7,0.0,187.2
"
504
",7885,37,28,0,2877,1/213.1,1/281.6,0.0,121.3
"
505
",5895,29,11,0,1632,1/203.3,1/535.9,0.0,147.4
"
506
",8324,30,27,0,1783,1/277.5,1/308.3,0.0,146.0
"
507
",5238,16,15,0,841,1/327.4,1/349.2,0.0,169.0
"
508
",6969,28,25,0,2335,1/248.9,1/278.8,0.0,131.5
"
509
",4858,23,17,0,2087,1/211.2,1/285.8,0.0,121.5
"
510
",4671,13,13,0,724,1/359.3,1/359.3,0.0,179.7
"
511
",4013,15,11,0,1215,1/267.5,1/364.8,0.0,154.3
"
512
",8122,34,21,0,2009,1/238.9,1/386.8,0.0,147.7
"
513
",3323,12,8,0,1014,1/276.9,1/415.4,0.0,166.2
"
514
",4384,17,20,0,2037,1/257.9,1/219.2,0.0,118.5
"
515
",5614,26,18,0,2213,1/215.9,1/311.9,0.0,127.6
"
516
",5193,15,11,0,734,1/346.2,1/472.1,0.0,199.7
"
517
",6083,23,14,0,1258,1/264.5,1/434.5,0.0,164.4
"
526
",8895,27,29,0,1113,1/329.4,1/306.7,0.0,158.8
"
527
",4851,16,13,0,1179,1/303.2,1/373.2,0.0,167.3
"
528
",2011,4,1,0,388,1/502.8,1/2011.0,0.0,402.2
"
529
",6414,38,11,0,3250,1/168.8,1/583.1,0.0,130.9
"
530
",2199,5,4,0,435,1/439.8,1/549.8,0.0,244.3
"
531
",5117,18,13,0,1131,1/284.3,1/393.6,0.0,165.1
"
532
",3032,10,7,0,707,1/303.2,1/433.1,0.0,178.4
"
533
",4676,18,10,0,947,1/259.8,1/467.6,0.0,167.0
"
534
",4794,17,8,0,925,1/282.0,1/599.3,0.0,191.8
"
535
",8627,28,29,0,872,1/308.1,1/297.5,0.0,151.4
